Asset,Description,Status,Asset Type,Asset Group,Year,Manufacturer,Model,VIN
32890-16,32890-16|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2016,FORD,TRANSIT,1FTYE1YMXGKA21129
31206-14,31206-14|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2014,CHEVROLET,EXPRESS,1GCZGTCG8E1205659
33870-14,33870-14|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2014,CHEVROLET,EXPRESS,1GCZGTCG6E1205160
33803-13,33803-13|TRUCK POOL FORD F150 TRUCK,ACTIVE,FLEET,TRUCK POOL,2013,FORD,F150,1FTEX1CMXDFC28810
33807-11,"33807-11|TRUCK POOL FORD F150 TRUCK QFC ADDED 12/14/11",ACTIVE,FLEET,TRUCK POOL,2011,FORD,F150,1FTEW1CM1BKD94883
32870-13,32870-13|TRUCK POOL FORD CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2013,FORD,E250,1FTNE2EWXDDA68918
30835-13,30835-13|TRUCK POOL FORD PICKUP,ACTIVE,FLEET,TRUCK POOL,2013,FORD,F150,1FTMF1CMXDKF67525
32945-02,"32945-02|TRUCK POOL GMC SONOMA PICKUP TRUCK NUMBER CHANGED FROM 33889 10/22/13 - MH",ACTIVE,FLEET,TRUCK POOL,2002,GMC,SONOMA,1GTCS195628244641
30805-12,30805-12|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2012,FORD,TRANSIT,NMOLS7ANXCTO78523
30896-11,"30896-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EW6BDA60899
30898-11,30898-11|TRUCK POOL DODGE CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2011,DODGE,GRAND CARAVAN,2D4JN1AG0BR732907
33822-12,33822-12|TRUCK POOL FORD VAN/SUPER CARGO,ACTIVE,FLEET,TRUCK POOL,2012,FORD,E250 SUPER CARGO,1FTNS2EW6CDA45031
33827-16,33827-16|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2016,FORD,TRANSIT,1FTYE1YM7GKB25139
33828-16,33828-16|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2016,FORD,TRANSIT,NMOLS7E76G1279722
32917-04,"32917-04|TRUCK POOL FORD PICKUP NUMBER CHANGED FROM 32876 8/3/17 - MH",ACTIVE,FLEET,TRUCK POOL,2004,FORD,F150,2FTRF17204CA51533
32872-17,32872-17|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2017,FORD,TRANSIT,1FTYE1YM7HKA62593
31209-17,31209-17|TRUCK POOL FORD E350 CUTAWAY TRUCK,ACTIVE,FLEET,TRUCK POOL,2017,FORD,E350,1FDWE3FS3HDC11988
32861-16,32861-16|TRUCK POOL CHEVROLET PICKUP,ACTIVE,FLEET,TRUCK POOL,2016,CHEVROLET,COLORADO,1GCHTBE33G1241452
